Open,Close
148.149994,146.830002
148.300003,157.169998
155.839996,156.149994
157.5,156.229996
158.529999,157.740005
154.889999,157.919998
143.979996,142.190002
144.529999,148.259995
148.699997,147.929993
149.559998,150.75
151.289993,153.309998
152.5,153.800003
152.880005,152.289993
150.850006,150
150.270004,153.070007
153.080002,154.940002
154.199997,155.860001
157.5,156.820007
156.410004,153.300003
154.149994,153.919998
154.110001,152.699997
155.479996,157.759995
155.789993,156.300003
156.25,154.679993
163.25,165.25
166.110001,166.440002
166.960007,166.520004
167.410004,171.25
172.860001,174.179993
174.649994,174.240005
172.399994,170.940002
168.990005,170.410004
171.050003,169.429993
170.100006,170.889999
171.389999,170.179993
169.710007,170.800003
171.25,170.419998
169.710007,170.929993
171.190002,172.029999
171.800003,171.059998
171.580002,172.970001
174.160004,174.229996
173.710007,174.330002
173.210007,174.869995
174.320007,173.149994
174.279999,174.970001
175.690002,175.850006
175.940002,175.529999
174.669998,174.520004
173.869995,172.5
170.320007,172.910004
175.490005,178.899994
180,180.910004
182.25,181.710007
183.899994,183.729996
184.850006,186.119995
185.800003,188.020004
188.350006,186.529999
186.229996,188.160004
190.020004,195.089996